OrderID,customer_id,ItemName,Order_Due_Date,STATUS,assignee
A-ORD-10000,A-1023,Ink Cartridge - Black,08/27/2025,Cancelled,dpatel
A-ORD-10001,A-1007,Envelopes (Box),2024-03-09,Cancelled,mklein
A-ORD-10002,A-1016,USB Hub,11/28/2025,Shipped,
,A-1020,Copy Paper (Case),01/11/2024,Shipped,mklein
A-ORD-10004,A-1001,Stapler,02/23/2024,Shipped,abrown
A-ORD-10005,A-9905,Filing Cabinet,01/12/2024,Open,jsantos
A-ORD-10006,A-1048,Desk Lamp,08-Mar-2024,Pending,rwong
,A-1026,Shredder,07/26/2024,Open,rwong
A-ORD-10008,A-1037,Filing Cabinet,05/27/2024,Pending,rwong
A-ORD-10009,A-1020,Filing Cabinet,11/17/2025,Cancelled,jsantos
A-ORD-10010,A-1014,Monitor Stand,05/02/2024,Shipped,
A-ORD-10011,A-1008,Whiteboard,10/07/2025,Delivered,dpatel
A-ORD-10012,A-1056,Desk Lamp,11/07/2025,Shipped,abrown
A-ORD-10013,A-1024,Binder Clips (Box),05/22/2025,Shipped,abrown
A-ORD-10014,A-1052,Desk Lamp,03/20/2025,Open,jsantos
A-ORD-10015,A-1050,Filing Cabinet,08/15/2025,Cancelled,rwong
A-ORD-10016,A-1051,Stapler,05/17/2025,Pending,
A-ORD-10017,A-1003,Ink Cartridge - Color,08/20/2024,Cancelled,mklein
A-ORD-10018,A-1011,USB Hub,2024-12-01,Pending,mklein
A-ORD-10019,A-1043,Ink Cartridge - Color,2024-02-15,Cancelled,abrown
A-ORD-10020,A-1048,Label Maker,2025-12-17,Cancelled,rwong
A-ORD-10021,A-1019,Shredder,2025-04-27,Cancelled,rwong
A-ORD-10022,A-9922,Desk Chair,04/09/2025,Cancelled,dpatel
A-ORD-10023,A-1054,Ink Cartridge - Color,02/14/2025,Delivered,rwong
A-ORD-10024,A-1058,Monitor Stand,12/01/2025,Shipped,jsantos
A-ORD-10025,A-1032,Binder Clips (Box),12/24/2024,Shipped,rwong
A-ORD-10026,A-1060,Whiteboard,06-Dec-2025,Cancelled,abrown
,A-1044,USB Hub,01/03/2025,Delivered,mklein
,A-1016,Sticky Notes (Pack),06/11/2025,Delivered,jsantos
A-ORD-10029,A-1004,Filing Cabinet,2024-04-21,Open,
,A-1002,Monitor Stand,03/08/2024,Open,abrown
A-ORD-10031,A-1028,Ink Cartridge - Black,2024-10-20,Pending,jsantos
,A-1052,Envelopes (Box),07/13/2024,Pending,dpatel
A-ORD-10033,A-1060,Stapler,10/26/2024,Delivered,
A-ORD-10034,A-1032,Label Maker,04-Aug-2025,Delivered,
A-ORD-10035,A-1050,Desk Chair,10/26/2025,Cancelled,jsantos
A-ORD-10036,A-1020,Envelopes (Box),08/08/2025,Delivered,jsantos
,A-1014,Sticky Notes (Pack),04/12/2025,Cancelled,
A-ORD-10038,A-1015,Stapler,04/24/2025,Pending,
A-ORD-10039,A-1002,Stapler,05/08/2025,Shipped,
A-ORD-10040,A-1034,Desk Lamp,2025-09-11,Shipped,jsantos
A-ORD-10041,A-1008,Desk Lamp,09/25/2024,Delivered,jsantos
A-ORD-10042,A-1023,Stapler,04/10/2024,Shipped,dpatel
A-ORD-10043,A-9943,Copy Paper (Case),09/10/2024,Delivered,dpatel
A-ORD-10044,A-1036,Filing Cabinet,02-Mar-2025,Delivered,dpatel
A-ORD-10045,A-9945,USB Hub,11/02/2024,Cancelled,jsantos
A-ORD-10046,A-1032,Monitor Stand,2024-10-26,Delivered,rwong
A-ORD-10047,A-1034,Desk Chair,10/20/2024,Open,
A-ORD-10048,A-1013,Ink Cartridge - Color,03/18/2024,Delivered,rwong
A-ORD-10049,A-9949,Desk Chair,12/10/2025,Pending,jsantos
A-ORD-10050,A-1015,Whiteboard,02/18/2024,Shipped,
